-1,385
-1,332
204,177
463,-1
-1,435
380,-1
272,325
-1,331
330,-1
-1,-1
192,-1
161,-1
292,337
366,244
439,429
348,126
-1,-1
190,220
215,-1
356,433
480,319
221,351
-1,-1
178,253
183,204
-1,454
474,328
368,-1
-1,226
434,175
328,-1
344,253
131,432
-1,-1
323,434
155,-1
-1,307
267,499
-1,290
116,328
349,285
338,220
-1,83
-1,138
265,418
354,149
268,-1
357,365
473,138
470,91
395,-1
199,295
222,332
416,-1
349,302
266,-1
479,151
227,-1
321,-1
192,219
435,-1
265,-1
-1,96
429,332
201,289
222,270
255,432
213,228
-1,210
183,-1
175,-1
248,-1
437,105
410,472
189,392
499,153
341,319
387,313
489,-1
478,-1
387,-1
375,-1
339,98
316,-1
-1,246
201,356
138,173
399,-1
-1,-1
238,-1
269,110
254,-1
253,-1
257,223
396,301
-1,487
257,433
-1,331
-1,239
191,198
-1,499
336,218
102,461
278,-1
334,340
240,208
-1,-1
-1,220
112,217
-1,-1
-1,-1
134,96
302,438
196,371
165,249
453,-1
207,477
313,476
-1,359
-1,-1
-1,-1
377,188
223,252
274,-1
-1,349
259,235
391,-1
228,123
-1,267
-1,455
206,481
306,293
342,447
275,447
449,-1
326,259
-1,246
200,-1
173,-1
100,430
-1,340
-1,-1
-1,215
183,430
298,303
269,452
-1,156
206,-1
319,-1
314,429
221,294
191,415
496,342
326,315
-1,-1
293,-1
-1,268
-1,-1
478,251
285,-1
487,295
337,-1
371,100
259,-1
393,188
-1,283
461,345
-1,384
258,227
301,111
205,163
436,167
332,206
-1,385
-1,124
296,257
258,248
-1,284
-1,372
-1,497
269,372
231,342
303,338
-1,347
-1,-1
271,318
347,158
270,-1
-1,326
156,436
-1,-1
-1,351
-1,-1
226,-1
142,-1
-1,432
211,-1
199,413
260,-1
110,178
-1,166
301,-1
141,474
-1,148
-1,-1
-1,261
126,-1
327,383
138,367
370,249
-1,472
-1,182
-1,95
135,112
185,151
-1,369
-1,319
451,309
-1,-1
377,304
453,140
-1,-1
-1,81
390,-1
182,188
302,260
476,328
115,293
252,341
144,164
-1,325
-1,335
268,261
146,323
-1,166
281,-1
473,140
-1,-1
378,-1
-1,423
321,198
-1,191
311,-1
-1,-1
422,-1
301,341
389,252
-1,190
172,480
286,365
429,-1
-1,256
409,-1
-1,320
-1,365
-1,356
192,455
239,241
235,336
450,364
-1,247
-1,232
401,-1
313,-1
-1,387
301,346
-1,250
260,180
-1,170
-1,449
-1,284
296,-1
168,252
300,-1
410,-1
267,397
110,-1
332,181
-1,270
380,160
-1,478
-1,-1
305,-1
313,348
-1,459
119,122
441,452
272,305
371,-1
159,-1
310,335
287,497
373,147
280,284
443,-1
255,-1
463,73
321,365
-1,-1
-1,491
222,244
375,243
320,-1
174,221
414,438
241,-1
488,384
155,-1
364,182
-1,-1
274,-1
-1,314
480,234
-1,450
-1,427
210,318
422,-1
217,-1
212,197
180,190
-1,-1
