-1,300,226
-1,158,-1
-1,-1,-1
-1,470,463
301,471,-1
-1,-1,-1
-1,345,-1
426,-1,-1
-1,-1,259
-1,-1,218
420,-1,429
-1,305,-1
286,-1,391
-1,446,-1
281,340,405
382,326,337
273,337,-1
440,361,490
338,454,352
-1,-1,217
172,243,473
-1,302,-1
496,471,186
-1,406,-1
-1,-1,-1
482,267,421
484,-1,308
-1,349,223
232,440,-1
345,388,429
-1,300,329
-1,283,401
309,-1,-1
-1,277,331
-1,499,413
-1,374,-1
185,-1,-1
-1,-1,-1
246,188,495
-1,-1,170
461,-1,-1
-1,442,-1
294,456,-1
261,-1,-1
428,-1,228
-1,282,-1
372,-1,244
440,307,-1
-1,-1,-1
388,281,-1
372,207,236
219,-1,353
388,495,-1
-1,-1,170
253,268,-1
-1,159,-1
-1,331,300
311,338,-1
-1,-1,220
497,445,461
393,500,-1
272,-1,424
205,370,325
-1,314,487
-1,401,-1
-1,472,229
492,273,473
221,-1,300
289,-1,451
-1,361,383
-1,-1,-1
341,-1,-1
-1,-1,-1
-1,-1,255
489,353,-1
-1,262,-1
-1,-1,-1
-1,-1,-1
-1,441,-1
441,323,-1
237,-1,306
416,298,287
-1,424,443
-1,-1,406
375,-1,-1
-1,-1,406
352,193,-1
410,-1,414
-1,372,499
263,-1,-1
333,408,112
-1,411,-1
-1,-1,-1
432,-1,-1
-1,-1,-1
356,405,400
-1,-1,-1
-1,226,-1
-1,354,169
-1,496,224
-1,-1,-1
-1,334,-1
-1,255,150
-1,-1,345
472,426,262
-1,232,144
-1,-1,190
452,-1,222
430,-1,-1
-1,376,-1
326,-1,-1
-1,418,326
-1,-1,311
256,328,224
-1,342,485
338,-1,-1
185,243,266
394,-1,191
-1,-1,-1
-1,368,413
-1,353,-1
245,420,222
421,379,348
-1,89,267
-1,390,351
409,-1,241
-1,475,-1
474,338,322
356,-1,210
210,461,388
-1,-1,-1
-1,-1,-1
253,160,444
-1,-1,-1
405,-1,233
-1,415,413
329,415,148
-1,321,374
358,304,-1
-1,246,395
88,453,231
379,428,254
-1,316,226
-1,-1,293
-1,416,-1
434,172,-1
-1,-1,142
-1,-1,-1
466,324,-1
-1,454,479
360,243,-1
426,331,299
444,344,-1
415,-1,-1
-1,424,-1
-1,362,457
-1,352,-1
