-1,199,449
-1,167,465
-1,172,250
-1,467,472
315,-1,115
-1,-1,-1
341,313,385
211,-1,335
264,300,434
-1,130,300
228,243,204
197,-1,249
369,225,-1
427,276,244
-1,110,-1
-1,406,184
266,135,-1
50,86,390
184,250,305
380,492,-1
-1,415,-1
377,341,420
-1,-1,402
242,253,272
271,205,411
277,418,377
443,422,121
-1,383,-1
181,-1,267
-1,-1,422
53,-1,-1
220,487,-1
-1,410,170
-1,-1,-1
-1,97,-1
343,181,442
130,-1,-1
265,443,-1
324,166,-1
268,117,-1
260,-1,-1
-1,383,-1
222,298,-1
214,153,-1
158,251,332
148,436,-1
395,329,253
220,453,-1
214,182,-1
276,-1,198
310,409,-1
177,394,-1
231,243,176
157,127,324
234,311,-1
-1,158,-1
338,389,-1
-1,145,-1
-1,417,-1
165,263,216
366,-1,-1
370,137,-1
-1,-1,225
242,419,150
-1,248,-1
344,161,244
-1,195,-1
376,277,176
375,221,220
170,205,483
367,355,150
310,286,387
419,-1,-1
-1,484,421
-1,136,380
288,-1,294
192,-1,-1
250,163,-1
321,357,418
158,-1,190
-1,444,207
254,114,421
280,479,222
370,403,205
260,-1,143
391,433,278
248,225,331
-1,411,161
326,-1,-1
-1,467,177
174,-1,142
279,398,-1
379,243,-1
236,-1,233
272,-1,154
141,322,273
269,279,276
216,-1,-1
-1,392,-1
-1,330,-1
257,-1,-1
343,359,183
456,312,156
307,-1,110
-1,-1,177
-1,211,-1
-1,-1,-1
176,-1,-1
221,220,-1
244,-1,-1
292,178,-1
222,466,141
198,-1,229
-1,361,438
450,312,123
284,151,-1
190,222,-1
-1,466,296
164,-1,244
400,393,133
-1,332,-1
-1,480,482
383,292,-1
-1,-1,275
269,256,-1
380,500,-1
234,227,171
363,-1,130
307,-1,-1
328,-1,350
-1,223,274
414,-1,179
388,416,116
382,358,464
391,-1,291
-1,146,-1
304,126,283
478,-1,-1
284,125,165
-1,219,482
325,-1,294
226,475,331
412,84,460
-1,366,322
-1,210,-1
294,-1,-1
-1,140,435
332,137,-1
296,379,-1
288,406,486
292,-1,-1
182,349,292
260,-1,371
108,470,366
-1,157,-1
336,221,-1
-1,185,-1
214,150,233
156,451,-1
303,-1,-1
159,369,-1
308,353,121
321,219,327
247,241,318
206,473,-1
226,-1,-1
371,70,177
406,-1,392
-1,-1,216
433,-1,215
176,-1,265
202,189,180
165,-1,-1
289,193,247
458,-1,-1
382,222,357
308,488,229
446,-1,277
406,200,269
229,-1,483
359,191,184
431,423,-1
-1,300,261
290,160,304
-1,467,-1
194,258,-1
223,383,369
474,251,161
-1,233,-1
294,148,229
-1,-1,440
299,486,-1
386,247,451
231,386,-1
-1,153,214
364,449,-1
168,271,90
200,323,174
-1,-1,-1
260,115,373
114,338,157
-1,368,431
-1,-1,215
187,-1,267
-1,-1,363
200,151,301
272,462,337
