403,185,244,439,154
324,136,159,-1,-1
185,339,344,407,234
253,404,-1,109,374
253,438,485,-1,-1
214,297,-1,-1,195
210,-1,310,367,-1
-1,161,345,-1,-1
283,-1,283,273,-1
410,401,-1,248,305
158,334,127,-1,243
308,-1,204,-1,-1
234,-1,-1,417,402
332,136,276,428,-1
259,326,266,103,170
397,229,460,415,273
283,-1,345,474,-1
354,325,216,130,261
339,429,178,-1,493
362,199,-1,317,212
323,220,369,380,274
140,342,357,99,-1
404,321,293,354,-1
401,307,484,294,217
224,301,342,275,374
292,245,261,265,459
232,183,198,372,207
485,169,252,280,218
392,350,306,181,-1
207,353,192,307,265
400,301,-1,336,-1
-1,385,280,149,363
463,223,239,379,362
437,-1,-1,-1,-1
434,-1,260,302,248
-1,-1,289,183,130
294,439,409,-1,135
-1,288,423,490,-1
177,132,-1,215,-1
314,470,176,405,-1
121,411,-1,-1,-1
445,353,284,366,-1
500,-1,-1,340,218
288,459,486,319,245
166,333,310,255,108
344,169,-1,-1,209
307,405,358,231,258
245,330,326,324,307
425,235,-1,333,398
407,-1,290,271,-1
236,211,250,389,177
219,351,170,-1,321
163,-1,490,219,324
213,-1,158,-1,242
240,193,203,348,264
226,186,117,176,-1
476,323,287,229,448
295,428,476,396,310
485,288,207,203,-1
499,263,350,-1,-1
-1,-1,291,273,-1
441,257,327,201,168
255,-1,271,404,-1
-1,-1,451,377,-1
372,492,-1,376,114
287,351,215,-1,445
357,193,213,409,235
359,-1,180,413,126
161,237,336,-1,229
280,211,254,437,-1
409,356,432,183,451
482,329,386,477,317
500,-1,-1,-1,154
454,480,285,319,-1
165,314,402,438,376
-1,197,-1,267,-1
348,459,-1,-1,-1
439,-1,228,-1,210
297,200,243,-1,-1
327,155,-1,165,420
220,-1,86,193,341
312,385,367,391,-1
363,201,193,290,266
389,297,310,334,310
413,-1,246,327,227
458,257,-1,-1,354
218,160,170,490,247
140,282,279,-1,376
346,245,-1,407,243
155,-1,488,-1,-1
459,-1,116,-1,387
424,310,352,322,392
358,346,213,221,487
385,234,-1,202,393
296,197,476,-1,-1
361,282,365,257,-1
-1,-1,239,376,72
362,149,-1,366,338
443,260,276,266,260
340,-1,106,473,-1
333,280,372,421,-1
-1,358,306,346,268
122,143,-1,278,-1
427,265,402,359,473
411,271,326,159,279
312,-1,-1,238,183
452,293,176,182,-1
189,222,371,203,-1
489,381,476,83,329
-1,454,225,262,-1
