403,185,244,439,154,330,258,281,-1
324,136,159,-1,-1,126,342,377,70
1,1,1,0.5,0.5,1,1,1,0.5
363.5,160.5,201.5,439,154,228,300,329,70
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
