-1,300,226,411,-1,378,431,265,-1
-1,158,-1,399,-1,278,268,-1,187
0,1,0.5,1,0,1,1,0.5,0.5
NaN,229,226,405,NaN,328,349.5,265,187
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
