403,185,244,437,416,311,-1
324,132,-1,-1,319,126,342
1,1,0.5,0.5,1,1,0.5
363.5,158.5,244,437,367.5,218.5,342
0,0,0,0,0,0,0
0,0,0,0,0,0,0
