442,273,216
170,207,-1
-1,82,-1
365,303,201
-1,-1,-1
438,326,245
248,309,108
-1,378,262
208,231,272
-1,348,192
-1,461,235
130,311,-1
237,257,-1
260,-1,184
201,261,358
243,383,-1
189,135,212
388,-1,252
216,253,-1
-1,180,204
302,-1,393
-1,256,193
-1,373,211
-1,436,496
205,274,324
360,183,148
354,-1,278
-1,306,-1
272,364,268
233,260,-1
175,425,145
437,245,293
213,222,364
-1,471,73
-1,270,498
-1,-1,465
470,-1,252
-1,121,370
377,-1,417
-1,322,-1
481,88,182
-1,451,241
326,-1,196
234,-1,479
324,334,-1
-1,236,69
186,-1,158
149,-1,-1
111,375,-1
-1,449,379
-1,275,-1
-1,267,146
381,118,461
-1,318,165
371,409,305
345,-1,147
-1,-1,292
-1,-1,-1
483,350,240
329,245,105
356,191,326
151,434,124
-1,108,391
201,203,143
-1,152,-1
-1,262,-1
-1,-1,-1
192,483,69
257,418,287
382,283,-1
152,358,-1
225,-1,429
411,356,191
374,396,166
46,-1,470
428,-1,-1
149,120,159
-1,172,433
-1,381,-1
218,86,216
397,168,323
364,-1,303
410,474,236
-1,335,-1
166,-1,165
407,-1,97
-1,-1,217
167,-1,131
-1,-1,231
427,211,-1
210,453,-1
392,228,464
371,279,468
81,448,-1
202,159,137
-1,230,327
396,342,256
336,194,-1
452,187,-1
227,-1,444
234,300,279
383,200,172
285,-1,226
261,134,-1
207,447,397
329,116,178
330,-1,-1
-1,-1,437
474,397,233
321,328,484
-1,-1,127
231,315,265
141,176,-1
-1,261,206
245,-1,223
366,232,159
390,463,291
-1,238,498
-1,-1,197
261,338,357
282,185,353
167,301,384
366,401,146
293,137,220
276,201,300
251,251,479
-1,-1,-1
-1,-1,-1
174,95,-1
-1,-1,309
336,167,140
385,307,398
-1,277,-1
279,391,322
292,184,-1
286,155,237
237,405,75
-1,288,500
321,263,392
160,479,333
263,-1,-1
391,-1,380
481,230,332
262,264,281
310,307,-1
305,333,-1
225,277,-1
150,151,463
446,-1,-1
413,-1,71
336,345,-1
-1,316,-1
-1,-1,285
-1,-1,414
152,403,326
-1,180,354
356,-1,170
216,204,283
227,246,371
317,332,91
-1,-1,364
195,239,248
-1,-1,-1
485,273,172
360,471,-1
324,124,275
311,188,215
-1,-1,-1
-1,275,316
229,283,221
427,386,-1
325,136,113
359,-1,-1
-1,392,423
75,203,397
323,259,415
178,264,-1
389,-1,327
-1,302,299
237,119,306
351,135,382
491,-1,247
273,-1,323
-1,235,-1
-1,277,-1
333,217,301
-1,378,211
244,375,203
-1,212,-1
296,308,120
-1,68,396
246,120,213
292,-1,194
-1,207,185
166,210,155
62,-1,235
-1,335,249
-1,227,323
-1,-1,238
194,158,-1
175,182,369
324,-1,289
238,-1,429
316,-1,241
281,376,260
-1,-1,-1
-1,434,148
305,401,316
-1,393,404
387,155,137
382,-1,177
496,-1,285
-1,82,149
-1,381,248
154,296,293
313,340,202
347,276,-1
409,110,129
371,357,101
297,330,-1
249,352,-1
-1,223,195
76,-1,264
-1,-1,-1
234,464,-1
330,-1,500
-1,458,232
207,-1,272
-1,275,69
122,-1,-1
313,185,253
214,448,-1
273,156,281
271,390,-1
219,349,135
-1,237,193
316,458,239
-1,423,446
229,-1,-1
308,411,91
