403,185,244,439
324,136,159,-1
185,339,344,407
253,404,-1,109
253,438,485,-1
214,297,-1,-1
210,-1,310,367
-1,161,345,-1
283,-1,283,273
410,401,-1,248
158,334,127,-1
308,-1,204,-1
234,-1,-1,417
332,136,276,428
259,326,266,103
397,229,460,415
283,-1,345,474
354,325,216,130
339,429,178,-1
362,199,-1,317
323,220,369,380
140,342,357,99
404,321,293,354
401,307,484,294
224,301,342,275
292,245,261,265
232,183,198,372
485,169,252,280
392,350,306,181
207,353,192,307
400,301,-1,336
-1,385,280,149
463,223,239,379
437,-1,-1,-1
434,-1,260,302
-1,-1,289,183
294,439,409,-1
-1,288,423,490
177,132,-1,215
314,470,176,405
121,411,-1,-1
445,353,284,366
500,-1,-1,340
288,459,486,319
166,333,310,255
344,169,-1,-1
307,405,358,231
245,330,326,324
425,235,-1,333
407,-1,290,271
236,211,250,389
219,351,170,-1
163,-1,490,219
213,-1,158,-1
240,193,203,348
226,186,117,176
476,323,287,229
295,428,476,396
485,288,207,203
499,263,350,-1
-1,-1,291,273
441,257,327,201
255,-1,271,404
-1,-1,451,377
372,492,-1,376
287,351,215,-1
357,193,213,409
359,-1,180,413
161,237,336,-1
280,211,254,437
409,356,432,183
482,329,386,477
500,-1,-1,-1
454,480,285,319
165,314,402,438
-1,197,-1,267
348,459,-1,-1
439,-1,228,-1
297,200,243,-1
327,155,-1,165
220,-1,86,193
312,385,367,391
363,201,193,290
389,297,310,334
413,-1,246,327
458,257,-1,-1
218,160,170,490
140,282,279,-1
346,245,-1,407
155,-1,488,-1
459,-1,116,-1
424,310,352,322
358,346,213,221
385,234,-1,202
296,197,476,-1
361,282,365,257
-1,-1,239,376
362,149,-1,366
443,260,276,266
340,-1,106,473
333,280,372,421
-1,358,306,346
122,143,-1,278
427,265,402,359
411,271,326,159
312,-1,-1,238
452,293,176,182
189,222,371,203
489,381,476,83
-1,454,225,262
366,-1,-1,438
171,232,-1,338
412,351,-1,-1
285,308,160,108
494,287,246,341
278,-1,-1,385
143,185,256,473
215,148,279,161
294,-1,-1,376
327,312,203,388
358,419,332,174
163,461,392,177
386,260,111,475
466,87,149,292
342,272,-1,-1
360,-1,252,325
290,-1,284,-1
326,485,223,267
309,298,317,352
443,341,437,267
-1,189,255,-1
281,277,396,-1
201,146,128,422
465,96,343,474
215,279,-1,492
194,235,474,76
323,260,136,268
200,-1,239,404
426,242,227,-1
345,178,349,260
88,417,471,-1
408,261,123,-1
371,320,177,392
402,216,309,410
279,423,151,-1
385,318,-1,455
341,433,147,449
485,-1,311,401
301,-1,350,332
376,259,-1,386
320,225,431,298
302,389,242,349
348,291,191,337
497,-1,-1,337
90,-1,491,386
-1,179,384,237
278,222,458,332
314,-1,462,491
365,-1,180,350
319,310,-1,-1
299,407,339,-1
334,290,412,-1
268,318,-1,-1
398,-1,206,208
483,346,-1,335
335,405,457,146
-1,162,-1,455
258,130,283,-1
-1,489,-1,-1
215,-1,277,213
471,114,-1,-1
251,-1,-1,151
323,-1,300,469
490,351,222,162
-1,406,-1,160
443,-1,-1,-1
360,343,343,320
330,-1,225,385
285,-1,70,256
217,354,294,100
205,339,358,319
281,-1,272,393
265,441,240,-1
491,-1,-1,168
159,124,-1,398
351,311,-1,209
-1,108,173,428
256,361,-1,-1
327,377,164,377
402,223,-1,-1
466,301,243,386
-1,363,226,-1
325,-1,300,119
273,370,410,307
431,316,411,447
399,269,168,-1
386,215,304,172
397,294,261,438
497,298,-1,-1
289,183,314,248
451,298,328,343
401,431,-1,136
121,257,223,85
384,178,247,251
323,143,288,245
83,336,316,-1
323,220,438,343
104,118,252,161
437,384,183,341
315,375,209,407
-1,187,330,381
-1,486,335,202
-1,187,-1,184
306,245,412,196
283,85,276,105
323,-1,381,-1
436,-1,451,281
329,215,403,-1
348,277,329,333
323,-1,391,385
149,193,-1,-1
303,446,333,210
390,353,-1,-1
471,-1,417,180
257,341,359,314
450,-1,414,-1
-1,449,207,-1
229,186,-1,387
317,-1,-1,-1
148,283,445,417
404,-1,-1,178
149,278,413,300
247,371,-1,-1
396,199,211,397
256,235,336,445
202,190,-1,498
351,412,331,498
364,231,74,349
425,262,296,-1
244,318,396,166
410,-1,73,273
365,353,392,193
226,496,-1,235
374,-1,-1,-1
84,356,183,-1
281,228,354,170
254,295,-1,-1
242,209,411,249
309,-1,135,361
294,464,288,247
226,-1,-1,414
336,200,382,125
225,314,172,-1
386,334,-1,432
344,117,148,336
398,145,189,187
370,-1,212,200
265,177,318,133
279,-1,350,289
-1,274,460,214
291,455,161,187
309,307,418,180
379,188,284,234
181,152,264,304
308,126,393,288
224,483,457,302
335,205,-1,-1
203,297,89,-1
367,141,202,208
278,277,111,317
208,132,317,397
203,201,215,286
-1,447,425,426
282,307,468,188
200,244,471,331
295,187,170,-1
210,-1,325,359
313,220,-1,209
365,-1,-1,217
386,315,173,282
389,428,203,-1
79,-1,187,496
360,476,328,379
195,375,260,362
225,336,268,-1
-1,281,223,353
212,214,144,-1
340,115,203,389
279,389,240,335
135,355,-1,148
305,254,311,422
466,-1,344,-1
-1,380,266,432
377,383,480,216
345,213,-1,-1
499,456,267,285
-1,418,184,405
183,216,166,279
493,-1,163,152
315,261,-1,393
314,-1,-1,-1
279,335,371,-1
441,-1,433,182
326,250,406,-1
276,409,346,377
431,482,-1,145
259,-1,-1,399
498,254,300,-1
325,244,431,-1
486,427,370,189
389,210,409,349
176,436,168,281
413,272,138,192
400,263,376,-1
377,-1,489,125
322,197,267,458
310,449,114,384
358,208,360,-1
365,-1,416,-1
315,236,290,435
207,500,283,340
282,247,186,171
346,416,-1,336
324,359,188,392
308,131,289,499
197,243,148,253
353,176,404,253
156,112,-1,490
460,470,183,371
357,273,156,250
300,274,196,295
261,396,340,107
318,254,463,-1
-1,-1,-1,296
362,-1,-1,253
293,-1,-1,186
466,-1,194,-1
159,291,479,271
362,225,424,478
438,-1,-1,489
439,-1,214,-1
217,-1,125,424
244,263,-1,300
208,304,426,-1
296,472,341,-1
208,488,338,251
312,479,377,447
363,-1,488,229
314,-1,462,341
242,432,-1,170
167,360,432,202
272,344,337,354
384,216,-1,-1
425,-1,443,313
368,467,154,216
182,-1,-1,362
469,480,238,183
-1,157,-1,336
280,264,376,194
369,-1,309,166
201,331,206,271
167,254,139,327
409,149,-1,248
-1,324,456,-1
412,347,305,-1
467,394,233,-1
308,156,446,388
286,325,417,147
-1,403,274,305
219,219,397,357
391,212,415,269
386,219,418,-1
332,431,-1,383
417,317,-1,-1
245,450,256,91
-1,377,311,-1
-1,304,344,-1
379,-1,-1,-1
499,416,266,230
327,464,415,241
451,442,386,232
476,337,203,240
253,450,373,325
413,148,306,472
363,488,-1,298
373,403,-1,166
335,-1,356,250
127,-1,300,-1
383,493,327,333
381,414,129,480
227,429,485,439
232,257,478,239
304,275,161,142
420,242,307,402
325,298,-1,-1
163,175,-1,197
361,312,372,148
304,-1,213,405
-1,406,145,-1
267,390,-1,284
455,427,167,280
349,275,213,403
358,281,368,279
465,311,378,304
