403,185,244
324,136,159
185,339,344
253,404,-1
253,438,485
214,297,-1
210,-1,310
-1,161,345
283,-1,283
410,401,-1
158,334,127
308,-1,204
234,-1,-1
332,136,276
259,326,266
397,229,460
283,-1,345
354,325,216
339,429,178
362,199,-1
323,220,369
140,342,357
404,321,293
401,307,484
224,301,342
292,245,261
232,183,198
485,169,252
392,350,306
207,353,192
400,301,-1
-1,385,280
463,223,239
437,-1,-1
434,-1,260
-1,-1,289
294,439,409
-1,288,423
177,132,-1
314,470,176
121,411,-1
445,353,284
500,-1,-1
288,459,486
166,333,310
344,169,-1
307,405,358
245,330,326
425,235,-1
407,-1,290
236,211,250
219,351,170
163,-1,490
213,-1,158
240,193,203
226,186,117
476,323,287
295,428,476
485,288,207
499,263,350
-1,-1,291
441,257,327
255,-1,271
-1,-1,451
372,492,-1
287,351,215
357,193,213
359,-1,180
161,237,336
280,211,254
409,356,432
482,329,386
500,-1,-1
454,480,285
165,314,402
-1,197,-1
348,459,-1
439,-1,228
297,200,243
327,155,-1
220,-1,86
312,385,367
363,201,193
389,297,310
413,-1,246
458,257,-1
218,160,170
140,282,279
346,245,-1
155,-1,488
459,-1,116
424,310,352
358,346,213
385,234,-1
296,197,476
361,282,365
-1,-1,239
362,149,-1
443,260,276
340,-1,106
333,280,372
-1,358,306
122,143,-1
427,265,402
411,271,326
312,-1,-1
452,293,176
189,222,371
489,381,476
-1,454,225
366,-1,-1
171,232,-1
412,351,-1
285,308,160
494,287,246
278,-1,-1
143,185,256
215,148,279
294,-1,-1
327,312,203
358,419,332
163,461,392
386,260,111
466,87,149
342,272,-1
360,-1,252
290,-1,284
326,485,223
309,298,317
443,341,437
-1,189,255
281,277,396
201,146,128
465,96,343
215,279,-1
194,235,474
323,260,136
200,-1,239
426,242,227
345,178,349
88,417,471
408,261,123
371,320,177
402,216,309
279,423,151
385,318,-1
341,433,147
485,-1,311
301,-1,350
376,259,-1
320,225,431
302,389,242
348,291,191
497,-1,-1
90,-1,491
-1,179,384
278,222,458
314,-1,462
365,-1,180
319,310,-1
299,407,339
334,290,412
268,318,-1
398,-1,206
483,346,-1
335,405,457
-1,162,-1
258,130,283
-1,489,-1
215,-1,277
471,114,-1
251,-1,-1
323,-1,300
490,351,222
-1,406,-1
443,-1,-1
360,343,343
330,-1,225
285,-1,70
217,354,294
205,339,358
281,-1,272
265,441,240
491,-1,-1
159,124,-1
351,311,-1
-1,108,173
256,361,-1
327,377,164
402,223,-1
466,301,243
-1,363,226
325,-1,300
273,370,410
431,316,411
399,269,168
386,215,304
397,294,261
497,298,-1
289,183,314
451,298,328
401,431,-1
121,257,223
384,178,247
323,143,288
83,336,316
323,220,438
104,118,252
437,384,183
315,375,209
-1,187,330
-1,486,335
-1,187,-1
306,245,412
283,85,276
323,-1,381
436,-1,451
329,215,403
348,277,329
323,-1,391
149,193,-1
303,446,333
390,353,-1
471,-1,417
257,341,359
450,-1,414
-1,449,207
229,186,-1
317,-1,-1
148,283,445
404,-1,-1
149,278,413
247,371,-1
396,199,211
256,235,336
202,190,-1
351,412,331
364,231,74
425,262,296
244,318,396
410,-1,73
365,353,392
226,496,-1
374,-1,-1
84,356,183
281,228,354
254,295,-1
242,209,411
309,-1,135
294,464,288
226,-1,-1
336,200,382
225,314,172
386,334,-1
344,117,148
398,145,189
370,-1,212
265,177,318
279,-1,350
-1,274,460
291,455,161
309,307,418
379,188,284
181,152,264
308,126,393
224,483,457
335,205,-1
203,297,89
367,141,202
278,277,111
208,132,317
203,201,215
-1,447,425
282,307,468
200,244,471
295,187,170
210,-1,325
313,220,-1
365,-1,-1
386,315,173
389,428,203
79,-1,187
360,476,328
195,375,260
225,336,268
-1,281,223
212,214,144
340,115,203
279,389,240
135,355,-1
305,254,311
466,-1,344
-1,380,266
377,383,480
345,213,-1
499,456,267
-1,418,184
183,216,166
493,-1,163
315,261,-1
314,-1,-1
279,335,371
441,-1,433
326,250,406
276,409,346
431,482,-1
259,-1,-1
498,254,300
325,244,431
486,427,370
389,210,409
176,436,168
413,272,138
400,263,376
377,-1,489
322,197,267
310,449,114
358,208,360
365,-1,416
315,236,290
207,500,283
282,247,186
346,416,-1
324,359,188
308,131,289
197,243,148
353,176,404
156,112,-1
460,470,183
357,273,156
300,274,196
261,396,340
318,254,463
-1,-1,-1
362,-1,-1
293,-1,-1
466,-1,194
159,291,479
362,225,424
438,-1,-1
439,-1,214
217,-1,125
244,263,-1
208,304,426
296,472,341
208,488,338
312,479,377
363,-1,488
314,-1,462
242,432,-1
167,360,432
272,344,337
384,216,-1
425,-1,443
368,467,154
182,-1,-1
469,480,238
-1,157,-1
280,264,376
369,-1,309
201,331,206
167,254,139
409,149,-1
-1,324,456
412,347,305
467,394,233
308,156,446
286,325,417
-1,403,274
219,219,397
391,212,415
386,219,418
332,431,-1
417,317,-1
245,450,256
-1,377,311
-1,304,344
379,-1,-1
499,416,266
327,464,415
451,442,386
476,337,203
253,450,373
413,148,306
363,488,-1
373,403,-1
335,-1,356
