-1,-1,-1,358,-1,-1,297,-1,-1,-1
-1,184,264,-1,-1,226,-1,-1,394,257
247,437,-1,-1,278,197,412,475,-1,174
487,498,281,261,236,-1,409,-1,338,294
-1,464,269,203,-1,-1,192,180,-1,-1
-1,-1,262,-1,-1,-1,196,-1,423,79
182,-1,239,-1,-1,-1,-1,379,442,124
472,386,-1,312,-1,-1,394,-1,253,494
-1,-1,-1,313,-1,327,-1,192,380,214
399,-1,440,-1,411,205,-1,343,-1,495
163,-1,381,314,-1,-1,399,-1,398,192
204,314,463,388,284,-1,-1,290,347,-1
344,401,-1,-1,103,-1,-1,390,190,203
-1,412,264,-1,433,486,246,-1,61,333
-1,499,150,224,200,127,-1,428,-1,157
494,418,207,-1,441,264,204,-1,395,-1
-1,464,428,-1,279,-1,155,271,-1,327
-1,257,385,424,262,-1,209,-1,367,305
470,-1,-1,252,232,275,-1,195,144,318
384,202,485,228,-1,275,155,441,269,239
276,-1,-1,384,315,-1,-1,353,243,266
-1,438,-1,349,400,-1,-1,479,-1,372
-1,-1,-1,-1,310,-1,229,-1,-1,361
233,428,297,-1,-1,372,-1,347,-1,468
497,184,-1,-1,-1,341,-1,291,-1,161
-1,260,-1,-1,-1,-1,-1,-1,305,64
-1,267,341,-1,-1,-1,-1,-1,-1,352
-1,297,-1,386,-1,364,203,305,468,360
408,395,-1,-1,462,-1,-1,-1,155,-1
-1,361,365,-1,-1,311,-1,-1,366,458
314,-1,-1,-1,-1,-1,256,-1,287,255
444,-1,194,-1,-1,-1,369,237,422,-1
-1,474,-1,298,-1,-1,151,444,436,408
-1,231,227,-1,99,-1,-1,387,187,330
-1,389,304,-1,292,360,447,-1,-1,385
448,438,456,463,-1,303,-1,245,334,-1
359,496,-1,-1,-1,-1,-1,200,-1,404
-1,373,-1,353,-1,235,202,-1,-1,-1
202,-1,221,303,-1,-1,-1,-1,-1,-1
-1,471,-1,-1,-1,-1,178,484,-1,367
417,217,-1,-1,-1,-1,146,312,486,397
-1,-1,-1,-1,-1,268,385,258,-1,106
421,309,144,-1,353,242,337,178,407,101
431,291,-1,402,466,314,-1,-1,-1,-1
177,-1,421,293,255,-1,379,-1,311,-1
-1,448,-1,-1,300,-1,372,-1,-1,324
335,469,-1,307,-1,-1,396,393,430,204
-1,-1,-1,-1,-1,485,151,445,356,166
365,294,340,466,-1,-1,387,-1,306,367
-1,311,-1,-1,275,242,301,350,258,463
414,436,-1,365,499,-1,189,224,-1,139
-1,-1,461,157,272,275,-1,225,-1,248
206,371,-1,284,500,-1,320,-1,302,187
335,-1,-1,260,-1,-1,315,333,465,123
440,426,465,267,481,184,-1,277,-1,281
-1,337,398,-1,-1,403,-1,410,398,-1
268,-1,376,344,417,317,-1,429,253,290
234,-1,-1,-1,-1,-1,-1,-1,-1,-1
244,457,247,110,-1,-1,-1,-1,293,403
465,350,485,-1,-1,439,301,-1,-1,-1
474,241,443,301,330,160,-1,-1,420,-1
-1,464,-1,-1,-1,136,-1,445,339,-1
490,470,362,-1,328,324,-1,348,-1,125
-1,-1,-1,358,-1,142,-1,-1,477,88
261,402,369,285,168,116,257,-1,204,193
296,-1,-1,419,-1,426,-1,-1,-1,117
384,-1,-1,410,-1,244,242,-1,218,-1
463,152,384,-1,314,-1,-1,-1,392,197
-1,485,404,-1,-1,-1,433,450,167,375
-1,248,-1,-1,215,-1,259,-1,-1,-1
497,-1,-1,-1,-1,-1,-1,147,288,-1
-1,-1,-1,-1,-1,-1,180,-1,61,296
470,234,435,-1,276,290,-1,-1,435,465
182,-1,355,252,422,156,-1,164,363,-1
-1,425,-1,385,-1,-1,276,-1,235,208
-1,381,480,297,476,-1,307,199,399,473
-1,297,161,-1,462,452,-1,-1,478,347
-1,-1,318,310,232,-1,-1,-1,-1,-1
336,-1,255,443,-1,248,335,349,210,318
-1,462,-1,355,-1,-1,355,88,259,-1
