-1,300,226,-1
-1,252,168,264
-1,314,-1,331
410,470,-1,382
301,-1,-1,467
-1,321,265,490
-1,345,-1,-1
426,-1,-1,-1
-1,-1,259,239
-1,343,-1,-1
420,-1,429,346
-1,243,-1,-1
286,-1,391,-1
-1,409,-1,-1
281,340,405,490
382,326,384,416
273,-1,150,-1
440,361,490,172
338,454,318,-1
-1,-1,217,-1
172,243,-1,-1
-1,302,-1,98
496,471,186,240
-1,401,351,311
-1,334,-1,-1
482,335,478,-1
484,-1,401,500
-1,349,279,-1
232,440,-1,217
345,-1,466,267
-1,-1,279,332
-1,283,264,454
309,335,-1,-1
-1,-1,-1,-1
-1,499,224,346
-1,374,-1,306
185,-1,-1,332
-1,-1,-1,479
246,188,-1,382
-1,-1,395,-1
461,345,279,-1
-1,442,-1,163
294,456,466,-1
261,-1,-1,451
397,-1,228,292
-1,290,490,487
372,-1,244,423
440,307,-1,-1
-1,217,-1,-1
388,440,-1,286
372,207,308,-1
219,388,-1,487
-1,495,407,-1
-1,-1,170,-1
253,268,457,445
-1,159,-1,405
-1,431,414,209
311,243,-1,232
-1,-1,220,341
497,445,281,-1
393,489,160,-1
272,-1,359,-1
205,370,330,-1
-1,-1,385,331
-1,324,243,-1
-1,472,229,-1
492,273,473,-1
221,-1,300,337
289,442,418,336
-1,361,487,276
-1,-1,426,-1
341,440,245,-1
-1,-1,-1,-1
-1,-1,255,429
489,353,-1,454
-1,262,-1,-1
-1,417,-1,-1
-1,-1,-1,290
-1,441,-1,352
441,323,391,239
237,443,306,297
416,298,466,-1
-1,424,443,344
-1,423,-1,-1
375,-1,-1,455
-1,-1,-1,-1
352,193,-1,-1
410,299,414,-1
-1,372,467,302
263,-1,-1,471
333,367,112,470
-1,-1,402,-1
-1,-1,-1,279
432,-1,-1,263
-1,345,-1,-1
356,405,-1,-1
-1,-1,-1,-1
-1,201,-1,341
-1,354,169,271
-1,496,-1,468
-1,-1,374,370
-1,335,-1,461
-1,255,150,-1
-1,-1,383,-1
472,426,-1,457
-1,232,144,437
-1,418,190,179
452,-1,222,-1
430,386,-1,83
-1,376,197,-1
326,422,-1,478
-1,247,342,362
-1,-1,298,454
256,359,354,126
-1,409,327,249
338,-1,-1,-1
185,243,468,178
394,-1,191,483
-1,361,-1,233
-1,368,413,366
-1,353,-1,332
245,-1,222,187
