403,185,244
324,132,-1
185,339,417
253,404,-1
253,438,364
214,192,196
210,463,310
-1,161,345
283,-1,283
410,320,272
158,482,128
308,270,498
234,-1,-1
332,136,276
259,326,266
397,229,265
283,-1,358
354,325,213
339,429,186
362,304,-1
323,220,438
140,342,357
404,321,293
401,233,-1
224,318,-1
292,245,433
232,183,204
485,169,-1
392,350,306
207,353,192
400,499,321
-1,-1,418
463,223,294
437,-1,-1
434,-1,443
-1,-1,398
294,439,409
-1,288,423
177,132,488
314,-1,176
121,485,-1
445,241,284
500,-1,-1
288,459,-1
166,333,310
344,466,431
307,405,358
245,330,-1
425,235,-1
407,-1,-1
236,211,172
219,-1,369
163,-1,288
213,-1,158
240,193,203
226,363,117
476,322,96
295,152,468
485,251,207
499,376,390
-1,-1,291
441,-1,-1
255,-1,271
-1,480,451
372,-1,123
287,276,215
357,193,290
359,-1,180
161,237,336
280,211,471
422,356,206
482,329,387
500,-1,-1
454,480,285
165,291,259
-1,197,482
348,354,-1
439,-1,228
297,200,243
327,155,172
220,-1,320
312,385,-1
363,201,193
389,-1,306
413,-1,246
458,466,-1
218,160,461
140,-1,279
346,245,-1
155,-1,357
459,292,116
424,310,352
358,-1,213
385,387,-1
296,280,292
361,282,365
-1,421,-1
362,149,192
443,258,276
340,305,107
333,280,265
-1,-1,305
122,143,348
427,265,291
411,271,-1
312,-1,479
452,-1,176
189,222,371
489,-1,-1
-1,454,377
366,-1,386
171,182,-1
412,362,-1
285,397,229
494,287,243
278,-1,225
143,185,256
215,148,195
294,-1,-1
327,312,202
358,419,-1
163,461,392
383,260,111
466,87,149
342,272,-1
360,-1,-1
290,393,-1
326,477,223
309,298,317
443,341,219
471,189,208
281,375,-1
201,164,449
465,96,489
215,289,-1
194,235,-1
323,260,136
200,204,458
426,242,-1
345,178,349
88,310,379
408,293,123
371,303,177
402,216,309
279,423,151
385,318,426
341,457,147
485,-1,-1
301,-1,-1
376,259,348
320,225,431
302,359,411
348,291,191
497,318,-1
90,401,-1
-1,179,331
278,-1,-1
314,480,372
365,-1,180
319,310,-1
299,392,-1
334,290,412
268,379,334
398,-1,340
483,346,480
335,470,288
-1,162,189
258,130,283
-1,-1,-1
215,-1,-1
471,114,421
251,-1,271
323,-1,175
490,351,222
-1,406,389
443,-1,357
427,-1,213
330,354,218
285,274,70
217,354,373
205,339,362
281,370,272
265,459,262
491,-1,-1
159,124,333
351,311,-1
-1,108,173
256,201,-1
327,371,178
402,223,-1
466,313,303
-1,326,341
325,390,-1
273,350,405
431,301,-1
399,-1,206
386,215,467
397,269,352
497,298,452
289,-1,435
451,298,113
401,431,430
121,257,223
384,178,179
323,143,333
83,-1,-1
323,357,217
104,118,432
437,367,442
315,373,-1
-1,187,330
-1,303,352
-1,182,-1
306,-1,412
283,85,276
323,500,463
436,-1,-1
329,215,-1
348,277,346
323,-1,391
149,192,-1
303,-1,338
390,353,494
471,374,-1
257,341,359
450,-1,414
-1,449,207
229,186,396
317,266,323
148,283,445
404,-1,-1
149,-1,413
247,371,-1
396,196,211
256,235,253
202,234,255
351,412,272
364,231,74
425,262,-1
244,318,390
410,466,73
365,349,392
226,250,-1
374,-1,-1
84,-1,-1
281,-1,354
254,318,-1
242,207,407
309,-1,135
383,464,288
226,-1,453
336,200,-1
225,314,172
386,334,300
344,117,148
398,145,189
370,-1,394
265,177,318
279,431,-1
-1,274,321
291,-1,161
309,304,232
379,188,284
181,152,-1
308,126,393
224,159,133
335,205,-1
203,246,89
367,141,202
278,277,111
208,132,-1
203,119,214
-1,332,-1
282,307,-1
200,244,323
295,187,346
210,385,341
313,220,-1
365,-1,-1
386,-1,173
389,451,-1
79,-1,187
360,358,299
195,375,260
225,336,437
-1,294,493
212,378,144
340,115,203
279,389,492
135,-1,-1
297,278,160
466,-1,222
-1,348,266
377,359,-1
345,213,-1
499,456,267
-1,418,342
183,225,166
493,321,163
315,343,-1
314,176,341
279,336,442
441,-1,257
326,250,285
276,-1,413
431,482,-1
259,-1,-1
498,258,300
325,244,341
486,448,370
459,394,383
176,436,275
413,-1,138
400,263,180
377,-1,398
322,197,267
310,414,114
358,301,-1
365,-1,399
211,236,290
207,423,-1
282,396,259
346,416,-1
324,359,188
308,131,352
197,243,148
353,176,-1
156,112,416
460,470,183
357,294,156
300,282,196
261,396,350
318,254,-1
-1,398,-1
362,-1,-1
293,368,-1
466,-1,194
159,427,412
362,185,424
438,-1,-1
439,369,214
217,-1,125
244,209,-1
208,321,299
296,472,292
208,488,338
312,479,377
363,-1,394
314,-1,462
242,96,-1
167,360,-1
272,206,283
384,216,347
425,-1,-1
368,467,276
182,-1,321
469,199,-1
-1,108,400
280,264,235
369,-1,-1
201,331,206
167,254,392
409,149,-1
-1,324,-1
411,347,305
467,394,332
308,156,446
286,455,417
-1,301,263
219,219,325
391,212,415
386,219,242
268,431,-1
417,317,357
245,209,258
-1,377,311
-1,288,344
379,-1,-1
499,438,-1
327,373,415
451,204,418
476,195,250
253,450,379
413,148,306
363,394,403
373,403,-1
335,-1,-1
127,-1,372
383,493,327
381,414,307
227,429,482
232,378,478
304,275,161
420,374,-1
325,298,-1
163,175,-1
361,312,372
304,-1,303
-1,-1,145
267,221,-1
455,392,167
349,333,213
358,281,-1
465,311,378
284,-1,-1
434,-1,168
464,162,377
424,300,489
-1,-1,-1
237,374,-1
326,288,361
-1,365,257
93,411,427
73,215,155
-1,438,248
338,295,143
378,263,-1
379,193,392
192,385,318
-1,-1,198
270,330,347
176,-1,-1
465,137,445
317,310,341
143,319,226
401,286,480
-1,326,92
288,355,384
269,467,376
437,160,441
-1,161,487
