-1,-1,283,-1,432,-1,-1,363
383,193,156,-1,-1,378,-1,-1
0.5,0.5,1,0,0.5,0.5,0,0.5
383,193,219.5,NaN,432,378,NaN,363
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
