403,185,244,437
324,132,-1,-1
185,339,417,407
253,404,-1,109
253,438,364,-1
214,192,196,-1
210,463,310,212
-1,161,345,-1
283,-1,283,291
410,320,272,248
158,482,128,247
308,270,498,-1
234,-1,-1,400
332,136,276,428
259,326,266,103
397,229,265,-1
283,-1,358,474
354,325,213,130
339,429,186,-1
362,304,-1,499
323,220,438,-1
140,342,357,99
404,321,293,354
401,233,-1,364
224,318,-1,275
292,245,433,265
232,183,204,372
485,169,-1,376
392,350,306,181
207,353,192,209
400,499,321,336
-1,-1,418,149
463,223,294,-1
437,-1,-1,-1
434,-1,443,322
-1,-1,398,183
294,439,409,393
-1,288,423,490
177,132,488,215
314,-1,176,427
121,485,-1,-1
445,241,284,366
500,-1,-1,-1
288,459,-1,-1
166,333,310,230
344,466,431,-1
307,405,358,401
245,330,-1,233
425,235,-1,333
407,-1,-1,358
236,211,172,244
219,-1,369,-1
163,-1,288,219
213,-1,158,347
240,193,203,-1
226,363,117,-1
476,322,96,183
295,152,468,403
485,251,207,203
499,376,390,-1
-1,-1,291,500
441,-1,-1,201
255,-1,271,316
-1,480,451,275
372,-1,123,-1
287,276,215,353
357,193,290,-1
359,-1,180,-1
161,237,336,-1
280,211,471,498
422,356,206,183
482,329,387,477
500,-1,-1,-1
454,480,285,319
165,291,259,-1
-1,197,482,267
348,354,-1,-1
439,-1,228,-1
297,200,243,479
327,155,172,165
220,-1,320,265
312,385,-1,391
363,201,193,-1
389,-1,306,-1
413,-1,246,327
458,466,-1,372
218,160,461,490
140,-1,279,-1
346,245,-1,196
155,-1,357,461
459,292,116,-1
424,310,352,322
358,-1,213,221
385,387,-1,202
296,280,292,-1
361,282,365,-1
-1,421,-1,311
362,149,192,366
443,258,276,266
340,305,107,298
333,280,265,419
-1,-1,305,346
122,143,348,443
427,265,291,460
411,271,-1,159
312,-1,479,238
452,-1,176,182
189,222,371,205
489,-1,-1,83
-1,454,377,262
366,-1,386,252
171,182,-1,-1
412,362,-1,431
285,397,229,108
494,287,243,-1
278,-1,225,378
143,185,256,364
215,148,195,161
294,-1,-1,376
327,312,202,458
358,419,-1,174
163,461,392,-1
383,260,111,209
466,87,149,-1
342,272,-1,271
360,-1,-1,325
290,393,-1,346
326,477,223,494
309,298,317,322
443,341,219,358
471,189,208,-1
281,375,-1,496
201,164,449,392
465,96,489,-1
215,289,-1,203
194,235,-1,76
323,260,136,-1
200,204,458,451
426,242,-1,371
345,178,349,294
88,310,379,491
408,293,123,-1
371,303,177,404
402,216,309,410
279,423,151,-1
385,318,426,343
